class,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
0,0,3.553191489,1,0,-1,0.671428571,0,0.378706814,47,22,20,43
0,0,1.931506849,1,0,-1,0.784946237,0,0.468557238,73,22,20,43
0,0,0.454545455,1,0,0,0.532258065,0,0.141542002,33,22,20,43
0,0,0.535714286,0,0,1,0.736842105,0,0.122252747,28,22,20,43
0,0,0.408783784,1,0,0,0.371392723,0,0.053287795,296,22,20,43
0,7.32885906,7.88590604,1,-27,-15,0.26048951,0.032472099,0.041535309,149,22,20,42
0,1.047854785,1.184818482,-3,-23,-11,0.205076142,0.228962407,0.217450238,606,22,20,42
0,25.97826087,27.7826087,1,-27,-15,0.340740741,0.260344188,0.267272832,46,22,20,42
0,0,1.576923077,1,0,0,0.426229508,0,0.378686531,26,22,20,43
0,0.88372093,4.488372093,1,-1,-4,0.373913043,0.054026607,0.2609335,43,22,20,43
0,2.047619048,2.746031746,0,1,-3,0.3,0.063122924,0.078844653,63,22,20,43
0,5.857142857,9.678571429,1,0,-1,0.482758621,0.33934504,0.53007804,28,22,20,43
0,2.88,4.98,1,-2,-1,0.526315789,0.367753002,0.568968134,50,22,20,43
0,0,1.75,1,0,0,1,0,0.797900262,28,22,20,42
0,0,1.821428571,1,0,0,0.252252252,0,0.15812212,28,22,20,43
0,0,2.666666667,1,0,0,0.541666667,0,0.17370892,78,22,20,65
0,0,6.72972973,1,0,0,0.840909091,0,0.46774944,37,22,20,65
0,0,7.411764706,1,0,0,0.772727273,0,0.420786155,34,22,20,65
0,0,1.86440678,0,0,1,0.842857143,0,0.537998907,59,22,20,65
0,0,5.035714286,1,0,0,0.756756757,0,0.485434496,28,22,20,65
0,0,3.458333333,1,0,-1,0.786885246,0,0.469866797,48,22,20,65
0,0,9.170731707,1,0,0,0.759259259,0,0.536914408,41,22,20,65
0,0,6.06779661,1,0,0,0.67816092,0,0.481535999,59,22,20,65
0,0,3.685393258,1,0,0,0.5,0,0.296795953,89,22,20,65
0,0.280788177,8.157635468,-6,7,5,0.330081301,0.280788177,0.062030136,203,22,20,63
0,0.175182482,12.56934307,-3,4,2,0.336609337,0.175182482,0.041433647,137,22,20,63
0,0.157009346,2.474766355,-10,10,9,0.237883504,0.157009346,0.473646904,535,22,20,63
0,0,18.56842105,-1,0,0,0.458937198,0,0.236156297,95,22,20,63
0,3.027027027,44.27027027,1,0,-17,0.327433628,0.204450954,0.082743314,37,22,20,65
0,4.321428571,58.82142857,1,0,-17,0.405797101,0.358079421,0.259874741,28,22,20,65
0,4.730769231,63.42307692,1,0,-17,0.541666667,0.519096288,0.445524889,26,22,20,65
0,7.617283951,19.67901235,0,-3,-16,0.35371179,0.354056293,0.150888681,81,22,20,65
0,0,63.42307692,1,0,-17,0.426229508,0,0.295354547,26,22,20,65
0,2.635416667,7.723958333,1,-4,-17,0.318936877,0.283626568,0.058306811,192,22,20,65
0,2.772972973,8.054054054,-1,-2,-15,0.317324185,0.279985845,0.053520977,185,22,20,65
0,0.785714286,28.53571429,1,0,-6,0.736842105,0.285714286,0.670959501,28,22,20,63
0,0,7.714285714,1,0,0,1,0,0.807722616,28,22,20,65
0,0,8.357142857,1,0,0,0.252252252,0,0.230064598,28,22,20,63
0,0,2.210280374,0,0,-1,0.417153996,0,0.359691356,214,43,21,65
0,0,0.647482014,1,0,-2,0.351602024,0,0.240313503,417,43,21,65
0,0,1.25,1,0,0,0.607594937,0,0.21,48,43,21,65
0,0,1.511627907,1,0,0,0.826923077,0,0.419534884,43,43,21,65
0,0.319402985,0.506865672,-16,14,-16,0.300340685,0.319402985,0.432871245,1675,43,42,98
0,4.93625498,6.912350598,1,-8,-12,0.196862745,0.362016394,0.644644117,251,43,42,99
0,0.658536585,47.43902439,1,0,-12,0.290780142,0.30644502,0.113450023,41,43,42,99
0,35.34146341,47.43902439,1,-8,-12,0.39047619,0.313324877,0.17083509,41,43,42,99
0,21.23880597,28.64179104,1,-8,-12,0.286324786,0.063544971,0.130775857,67,43,42,99
0,13.9,18.86,1,-8,-12,0.352112676,0.238509987,0.080495598,100,43,42,99
0,9.955882353,13.60294118,1,-8,-12,0.275862069,0.028027713,0.173663189,136,43,42,99
0,5.106557377,7.139344262,1,-8,-12,0.192277384,0.394497267,0.683864993,244,43,42,99
0,2.113207547,28.79245283,1,0,-4,0.176079734,0.165560577,0.413099323,53,43,42,98
0,0.4,51.63333333,1,0,-4,0.275229358,0.230645161,0.09596071,30,43,42,98
0,0.527777778,42.86111111,1,0,-4,0.230769231,0.302367942,0.078211997,36,43,42,98
0,10.72413793,53.44827586,1,-1,-4,0.333333333,0.265658747,0.25354554,29,43,42,98
0,10.72413793,53.44827586,1,-1,-4,0.426470588,0.426032124,0.416564331,29,43,42,98
